 ,Area,Mean,Min,Max,Circ.,AR,Round,Solidity
293,1.389,255,255,255,1.000,2.000,0.500,1.000
294,3302.778,255,255,255,0.659,1.310,0.763,0.947
295,1.389,255,255,255,0.785,2.646,0.378,0.667
296,1.389,255,255,255,1.000,2.000,0.500,1.000
297,2272.222,255,255,255,0.647,1.345,0.743,0.943
298,1.389,255,255,255,1.000,2.000,0.500,1.000
299,1.389,255,255,255,1.000,2.000,0.500,1.000
300,1.389,255,255,255,1.000,2.000,0.500,1.000
301,1450.694,255,255,255,0.627,1.225,0.816,0.938
302,647.222,255,255,255,0.552,1.506,0.664,0.894
303,2190.972,255,255,255,0.642,1.223,0.818,0.941
304,3695.139,255,255,255,0.439,1.573,0.636,0.885
305,14330.556,255,255,255,0.427,1.356,0.738,0.901
306,1080.556,255,255,255,0.614,1.273,0.786,0.909
307,1941.667,255,255,255,0.607,1.236,0.809,0.928
308,2716.667,255,255,255,0.559,1.640,0.610,0.928
309,1494.444,255,255,255,0.648,1.173,0.852,0.916
310,1.389,255,255,255,0.785,2.646,0.378,0.667
311,1682.639,255,255,255,0.693,1.079,0.926,0.945
312,1.389,255,255,255,1.000,2.000,0.500,1.000
313,1.389,255,255,255,1.000,2.000,0.500,1.000
314,1275.000,255,255,255,0.609,1.218,0.821,0.928
315,2.083,255,255,255,1.000,1.464,0.683,0.857
316,1247.222,255,255,255,0.634,1.369,0.731,0.915
317,1248.611,255,255,255,0.641,1.374,0.728,0.936
318,1106.944,255,255,255,0.557,1.138,0.878,0.905
319,1.389,255,255,255,1.000,2.000,0.500,1.000
320,3625.000,255,255,255,0.613,1.327,0.754,0.949
321,2.083,255,255,255,0.967,3.000,0.333,1.000
322,3711.806,255,255,255,0.631,1.029,0.971,0.944
323,1954.167,255,255,255,0.553,1.099,0.910,0.916
324,2.083,255,255,255,0.967,3.000,0.333,1.000
325,1331.250,255,255,255,0.579,1.193,0.838,0.916
326,1261.806,255,255,255,0.599,1.167,0.857,0.910
327,2189.583,255,255,255,0.548,1.358,0.736,0.934
328,2062.500,255,255,255,0.609,1.049,0.954,0.936
329,1.389,255,255,255,1.000,2.000,0.500,1.000
330,3.472,255,255,255,0.513,4.051,0.247,0.667
331,2852.083,255,255,255,0.647,1.075,0.930,0.945
332,1407.639,255,255,255,0.575,1.404,0.712,0.911
333,1271.528,255,255,255,0.575,1.042,0.960,0.915
334,2900.694,255,255,255,0.498,1.276,0.783,0.934
335,4.861,255,255,255,0.564,2.024,0.494,0.636
336,1106.250,255,255,255,0.557,1.162,0.860,0.912
337,2577.083,255,255,255,0.644,1.012,0.989,0.941
338,1248.611,255,255,255,0.590,1.135,0.881,0.914
339,1494.444,255,255,255,0.672,1.158,0.864,0.932
340,1.389,255,255,255,1.000,2.000,0.500,1.000
341,1953.472,255,255,255,0.673,1.285,0.778,0.938
342,3157.639,255,255,255,0.625,1.180,0.847,0.949
343,686.111,255,255,255,0.630,1.252,0.799,0.908
344,2150.000,255,255,255,0.680,1.116,0.896,0.955
345,1.389,255,255,255,1.000,2.000,0.500,1.000
346,2444.444,255,255,255,0.619,1.209,0.827,0.939
347,1.389,255,255,255,1.000,2.000,0.500,1.000
348,1224.306,255,255,255,0.628,1.100,0.909,0.914
349,1461.111,255,255,255,0.700,1.483,0.674,0.948
350,1890.278,255,255,255,0.567,1.196,0.836,0.924
351,8158.333,255,255,255,0.459,1.200,0.833,0.887
352,2583.333,255,255,255,0.676,1.133,0.883,0.943
353,1.389,255,255,255,1.000,2.000,0.500,1.000
354,871.528,255,255,255,0.760,1.194,0.838,0.931
355,2063.889,255,255,255,0.717,1.215,0.823,0.941
356,2251.389,255,255,255,0.585,1.195,0.837,0.930
357,12.500,255,255,255,0.687,2.421,0.413,0.783
358,1.389,255,255,255,0.785,2.646,0.378,0.667
359,1636.806,255,255,255,0.651,1.208,0.828,0.932
360,904.167,255,255,255,0.591,1.081,0.925,0.908
361,2.083,255,255,255,1.000,1.464,0.683,0.857
362,1.389,255,255,255,0.785,2.646,0.378,0.667
363,2181.944,255,255,255,0.634,1.230,0.813,0.933
364,2.083,255,255,255,0.754,2.702,0.370,0.667
365,1.389,255,255,255,1.000,2.000,0.500,1.000
366,1769.444,255,255,255,0.620,1.164,0.859,0.917
367,1700.694,255,255,255,0.589,1.276,0.783,0.925
368,2342.361,255,255,255,0.625,1.491,0.671,0.929
369,1131.250,255,255,255,0.614,1.108,0.902,0.929
370,2054.167,255,255,255,0.588,1.135,0.881,0.929
371,2785.417,255,255,255,0.620,1.254,0.797,0.942
372,2777.778,255,255,255,0.606,1.104,0.905,0.943
373,1607.639,255,255,255,0.588,1.121,0.892,0.927
374,1.389,255,255,255,0.785,2.646,0.378,0.667
375,2222.222,255,255,255,0.638,1.146,0.872,0.933
376,1174.306,255,255,255,0.664,1.406,0.711,0.923
377,1799.306,255,255,255,0.659,1.534,0.652,0.934
378,2297.222,255,255,255,0.721,1.108,0.902,0.949
379,1186.111,255,255,255,0.696,1.060,0.943,0.939
380,947.917,255,255,255,0.742,1.260,0.794,0.942
381,1040.278,255,255,255,0.741,1.275,0.784,0.932
382,842.361,255,255,255,0.576,1.284,0.779,0.918
383,3374.306,255,255,255,0.600,1.178,0.849,0.941
384,2012.500,255,255,255,0.580,1.277,0.783,0.919
385,4275.000,255,255,255,0.643,1.065,0.939,0.947
386,1.389,255,255,255,1.000,2.000,0.500,1.000
387,2297.222,255,255,255,0.634,1.220,0.820,0.947
388,3529.861,255,255,255,0.474,1.974,0.506,0.873
389,2318.056,255,255,255,0.683,1.265,0.791,0.958
390,976.389,255,255,255,0.594,1.322,0.757,0.908
391,1296.528,255,255,255,0.531,1.422,0.703,0.923
392,3415.278,255,255,255,0.601,1.114,0.897,0.945
393,2.083,255,255,255,0.809,3.000,0.333,1.000
394,1.389,255,255,255,0.785,2.646,0.378,0.667
